epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_retained_tokens,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb,eval_top1_full_compression
0,6.927593653018658,0.0,0.0,1e-06,1e-06,1e-06,1514.3637400825742,42973.001953125,45324.0,1.5,523,0.0,6.97577,0.08,0.474,4510.517433058513,1508.06005859375,1794.0,0.0
1,6.651464315561148,0.0,0.0,0.0001508,0.0001508,0.0001508,1626.172334087624,42843.7373046875,46376.0,1.5166666666666666,517,0.0,6.96308625,0.078,0.526,4630.991288890993,1505.58740234375,46376.0,0.0
2,6.354825441653912,0.0,0.0,0.00030060000000000004,0.00030060000000000004,0.00030060000000000004,1593.106733661566,42706.5703125,46380.0,1.5333333333333334,512,0.0,6.94667,0.106,0.634,4604.893124927361,1505.27587890625,46380.0,0.0
3,6.111861962538499,0.0,0.0,0.00045040000000000005,0.00045040000000000005,0.00045040000000000005,1687.1309838816658,42562.2626953125,46380.0,1.55,506,0.0,6.92858875,0.162,0.804,4623.474303437107,1505.27392578125,46380.0,0.0
4,6.0193008826329155,0.0,0.0,0.0006002000000000001,0.0006002000000000001,0.0006002000000000001,1637.6557743612268,42448.36767578125,46380.0,1.5666666666666667,501,0.0,6.9108675,0.206,0.99,4679.850779591679,1506.18994140625,46380.0,0.0
5,5.762249121299157,0.0,0.0,0.0007479731012862611,0.0007479731012862611,0.0007479731012862611,1678.3540202463205,42322.41943359375,46380.0,1.5833333333333333,496,0.0,6.8965875,0.298,1.206,4625.076604860244,1504.6513671875,46380.0,0.0
6,5.585869037188017,0.0,0.0,0.0007470824394863569,0.0007470824394863569,0.0007470824394863569,1694.4461741018404,42180.33203125,46380.0,1.6,490,0.0,6.88395875,0.302,1.366,4670.491010078933,1504.6494140625,46380.0,0.0
7,5.46034284738394,0.0,0.0,0.0007460307631963057,0.0007460307631963057,0.0007460307631963057,1649.6821681847923,42063.3671875,46380.0,1.6166666666666667,485,0.0,6.86505875,0.298,1.43,4682.983959742923,1506.1845703125,46380.0,0.0
8,5.162425664755014,0.0,0.0,0.0007448185337160869,0.0007448185337160869,0.0007448185337160869,1698.243168840224,41940.4912109375,46380.0,1.6333333333333333,480,0.0,6.84334,0.376,1.584,4659.613156158515,1504.65478515625,46380.0,0.0
9,5.1341020327347975,0.0,0.0,0.0007434462827696148,0.0007434462827696148,0.0007434462827696148,1661.3526732315595,41845.36767578125,46380.0,1.65,476,0.0,6.8184375,0.43,1.792,4708.970877923199,1504.81103515625,46380.0,0.0
10,4.942122642810528,0.0,0.0,0.0007419146122715081,0.0007419146122715081,0.0007419146122715081,1695.310245819376,42020.71875,47044.0,1.6666666666666667,471,0.005,6.79159625,0.55,2.19,4685.8471129408845,1504.64306640625,47044.0,0.0
11,4.941576572564932,0.0,0.0,0.0007402241940630694,0.0007402241940630694,0.0007402241940630694,1681.8159745201538,41901.36669921875,47044.0,1.6833333333333333,466,0.01,6.76044,0.694,2.604,3434.285886935029,1504.8076171875,47044.0,0.0
